rider_id,rider_name,city,signup_date,rating
74,Rider_74,Mumbai,12/28/2023,3.6
75,Rider_75,Chennai,2/19/2022,3.6
76,Rider_76,Bangalore,8/2/2022,4.8
77,Rider_77,Bangalore,8/8/2024,3.1
78,Rider_78,Chennai,1/27/2024,3.9
79,Rider_79,Delhi,7/27/2024,4.9
80,Rider_80,Mumbai,10/20/2023,3.3
81,Rider_81,Bangalore,4/8/2022,3.8
82,Rider_82,Hyderabad,6/8/2022,3.1
83,Rider_83,Mumbai,3/26/2023,3.2
84,Rider_84,Bangalore,1/12/2024,3.1
85,Rider_85,Bangalore,7/22/2023,3.9
86,Rider_86,Chennai,2/18/2023,4.4
87,Rider_87,Chennai,5/23/2022,3.4
88,Rider_88,Mumbai,10/16/2022,4.2
89,Rider_89,Hyderabad,7/11/2024,3.5
90,Rider_90,Chennai,10/12/2023,3.1
91,Rider_91,Delhi,6/13/2024,3.7
92,Rider_92,Bangalore,8/17/2023,4.3
93,Rider_93,Delhi,7/13/2024,4.6
94,Rider_94,Bangalore,12/18/2022,3.5
95,Rider_95,Chennai,9/14/2024,4.7
96,Rider_96,Delhi,12/2/2022,3.2
97,Rider_97,Bangalore,4/24/2022,3.1
98,Rider_98,Bangalore,4/9/2024,3.3
99,Rider_99,Bangalore,8/25/2024,4.6
100,Rider_100,Hyderabad,12/19/2022,3.1
101,Rider_101,Hyderabad,7/6/2023,4.7
102,Rider_102,Chennai,1/8/2022,4.9
103,Rider_103,Hyderabad,2/28/2024,3.4
104,Rider_104,Hyderabad,9/5/2023,4.7
105,Rider_105,Mumbai,3/27/2024,4.8
106,Rider_106,Delhi,2/13/2023,4.2
107,Rider_107,Bangalore,7/19/2024,4
108,Rider_108,Mumbai,1/24/2024,4.7
109,Rider_109,Chennai,1/28/2024,3.3
110,Rider_110,Chennai,4/10/2022,3.7
111,Rider_111,Delhi,11/16/2024,4.2
112,Rider_112,Chennai,6/6/2024,4.2
113,Rider_113,Mumbai,11/5/2024,3.6
114,Rider_114,Hyderabad,1/8/2024,3.3
115,Rider_115,Chennai,9/23/2024,4.3
116,Rider_116,Mumbai,12/28/2023,3.9
117,Rider_117,Bangalore,6/20/2024,4.2
118,Rider_118,Delhi,6/17/2023,3
119,Rider_119,Chennai,11/2/2022,4.8
120,Rider_120,Mumbai,2/27/2023,3
121,Rider_121,Mumbai,9/21/2022,3.4
122,Rider_122,Hyderabad,12/11/2022,3.3
123,Rider_123,Bangalore,2/23/2022,4.9
124,Rider_124,Bangalore,4/17/2023,4
125,Rider_125,Delhi,8/19/2022,3.8
126,Rider_126,Delhi,9/19/2023,4.8
127,Rider_127,Hyderabad,4/18/2022,3.3
128,Rider_128,Bangalore,3/1/2023,4.1
129,Rider_129,Chennai,8/16/2023,3.9
130,Rider_130,Mumbai,7/27/2022,4.8
131,Rider_131,Mumbai,10/15/2023,3.5
132,Rider_132,Bangalore,6/21/2024,4.7
133,Rider_133,Chennai,8/19/2024,4.5
134,Rider_134,Chennai,1/14/2023,3.4
135,Rider_135,Bangalore,10/8/2023,3.7
136,Rider_136,Chennai,10/18/2022,3.5
137,Rider_137,Bangalore,2/4/2023,4.3
138,Rider_138,Bangalore,7/17/2022,5
139,Rider_139,Bangalore,7/7/2024,4.2
140,Rider_140,Bangalore,4/1/2023,3.5
141,Rider_141,Chennai,12/4/2024,3.5
142,Rider_142,Hyderabad,8/19/2022,3.7
143,Rider_143,Mumbai,9/3/2023,4.3
144,Rider_144,Chennai,1/12/2022,4.8
145,Rider_145,Chennai,12/17/2024,3.1
146,Rider_146,Delhi,3/14/2022,3.7
147,Rider_147,Delhi,6/9/2024,3.7
148,Rider_148,Delhi,7/3/2022,3.6
149,Rider_149,Mumbai,7/19/2023,3.6
150,Rider_150,Hyderabad,2/24/2024,4.6
151,Rider_151,Bangalore,3/8/2024,4.8
152,Rider_152,Bangalore,9/11/2022,3.7
153,Rider_153,Delhi,11/2/2022,3.7
154,Rider_154,Hyderabad,2/11/2023,4.3
155,Rider_155,Bangalore,12/2/2023,3.5
156,Rider_156,Mumbai,3/4/2024,3.3
157,Rider_157,Hyderabad,2/12/2023,4.7
158,Rider_158,Bangalore,1/15/2024,4.9
159,Rider_159,Delhi,12/23/2023,3.3
160,Rider_160,Bangalore,5/18/2022,3.1
161,Rider_161,Mumbai,6/12/2024,4
162,Rider_162,Delhi,4/25/2022,4.4
163,Rider_163,Delhi,4/15/2024,3.9
164,Rider_164,Mumbai,1/13/2023,4
165,Rider_165,Hyderabad,2/20/2022,3.3
166,Rider_166,Delhi,8/15/2023,3.8
167,Rider_167,Bangalore,8/27/2023,4.9
168,Rider_168,Chennai,9/10/2024,3
169,Rider_169,Hyderabad,11/28/2024,4.5
170,Rider_170,Chennai,10/4/2022,4.8
171,Rider_171,Mumbai,9/11/2023,3.3
172,Rider_172,Hyderabad,4/24/2024,4.8
173,Rider_173,Delhi,4/22/2024,4.7
174,Rider_174,Mumbai,12/12/2024,3.6
175,Rider_175,Mumbai,6/6/2024,3.8
176,Rider_176,Delhi,5/26/2024,3.9
177,Rider_177,Hyderabad,3/12/2023,3.8
178,Rider_178,Mumbai,5/28/2023,4.5
179,Rider_179,Hyderabad,2/26/2022,3.3
180,Rider_180,Chennai,10/25/2022,4.1
181,Rider_181,Bangalore,1/2/2024,4.7
182,Rider_182,Hyderabad,6/24/2022,3
183,Rider_183,Hyderabad,4/14/2024,3.3
184,Rider_184,Delhi,2/19/2023,3.6
185,Rider_185,Hyderabad,10/8/2022,4.1
186,Rider_186,Hyderabad,4/25/2022,4.5
187,Rider_187,Delhi,4/10/2022,4.3
188,Rider_188,Chennai,8/20/2022,3.4
189,Rider_189,Chennai,9/22/2022,3.5
190,Rider_190,Delhi,12/21/2024,4.6
191,Rider_191,Mumbai,3/17/2024,4.6
192,Rider_192,Chennai,6/1/2023,3.5
193,Rider_193,Bangalore,3/24/2023,3.2
194,Rider_194,Hyderabad,8/4/2023,3.6
195,Rider_195,Chennai,10/23/2023,4.5
196,Rider_196,Delhi,11/27/2023,4.6
197,Rider_197,Hyderabad,4/1/2023,3.2
198,Rider_198,Chennai,8/15/2024,5
199,Rider_199,Mumbai,12/12/2023,4.6
200,Rider_200,Bangalore,9/13/2024,4
201,Rider_201,Chennai,5/24/2023,3.6
202,Rider_202,Mumbai,12/27/2022,3.2
203,Rider_203,Mumbai,9/15/2024,4.3
204,Rider_204,Chennai,8/27/2023,3.3
205,Rider_205,Bangalore,5/23/2022,3.5
206,Rider_206,Mumbai,5/10/2022,3.8
207,Rider_207,Mumbai,12/12/2024,3.4
208,Rider_208,Delhi,6/11/2023,3.9
209,Rider_209,Hyderabad,12/26/2023,3.7
210,Rider_210,Bangalore,8/10/2023,4.6
211,Rider_211,Mumbai,2/1/2023,3.1
212,Rider_212,Mumbai,2/25/2023,3.6
213,Rider_213,Hyderabad,11/14/2024,4.5
214,Rider_214,Mumbai,9/2/2023,4.3
215,Rider_215,Chennai,3/28/2024,3.9
216,Rider_216,Mumbai,12/5/2023,3.6
217,Rider_217,Bangalore,9/10/2023,4.9
218,Rider_218,Hyderabad,7/14/2024,3.3
219,Rider_219,Delhi,7/3/2024,3.2
220,Rider_220,Mumbai,8/5/2022,4.1
221,Rider_221,Hyderabad,5/15/2024,4.8
222,Rider_222,Hyderabad,7/7/2022,3.6
223,Rider_223,Chennai,2/11/2023,4
224,Rider_224,Chennai,7/10/2024,4.1
225,Rider_225,Delhi,5/10/2023,4.6
226,Rider_226,Mumbai,6/3/2024,3.7
227,Rider_227,Bangalore,12/19/2023,4.9
228,Rider_228,Bangalore,8/24/2022,4.5
229,Rider_229,Chennai,11/19/2024,4.1
230,Rider_230,Bangalore,3/16/2022,5
231,Rider_231,Mumbai,7/22/2024,4.2
232,Rider_232,Chennai,11/23/2022,4.3
233,Rider_233,Hyderabad,3/17/2024,4.2
234,Rider_234,Delhi,11/18/2024,3.7
235,Rider_235,Bangalore,2/14/2024,4.2
236,Rider_236,Mumbai,10/21/2024,3.5
237,Rider_237,Bangalore,1/25/2022,4.9
238,Rider_238,Hyderabad,4/11/2022,4.4
239,Rider_239,Mumbai,5/13/2022,4.5
240,Rider_240,Bangalore,7/16/2024,4.9
241,Rider_241,Chennai,12/3/2023,4.2
242,Rider_242,Mumbai,2/21/2024,4.2
243,Rider_243,Delhi,9/24/2023,4.2
244,Rider_244,Bangalore,5/23/2023,4.1
245,Rider_245,Bangalore,12/23/2024,4.2
246,Rider_246,Hyderabad,6/6/2024,5
247,Rider_247,Hyderabad,10/9/2022,3.1
248,Rider_248,Hyderabad,11/20/2022,3.9
249,Rider_249,Bangalore,12/15/2023,5
250,Rider_250,Mumbai,2/20/2023,4.9
251,Rider_251,Delhi,6/13/2024,3.3
252,Rider_252,Delhi,8/6/2023,4.3
253,Rider_253,Chennai,5/5/2024,5
254,Rider_254,Chennai,10/14/2023,4.4
255,Rider_255,Chennai,7/27/2023,3.8
256,Rider_256,Hyderabad,7/21/2024,3.4
257,Rider_257,Chennai,10/25/2023,3.3
258,Rider_258,Bangalore,12/15/2022,3.2
259,Rider_259,Chennai,10/27/2022,3.1
260,Rider_260,Bangalore,11/9/2022,4.3
261,Rider_261,Bangalore,9/23/2022,3.7
262,Rider_262,Delhi,2/1/2023,4.6
263,Rider_263,Delhi,10/2/2024,4.8
264,Rider_264,Chennai,11/24/2024,3.4
265,Rider_265,Bangalore,7/8/2024,4.5
266,Rider_266,Mumbai,3/7/2023,3
267,Rider_267,Chennai,9/28/2023,3.6
268,Rider_268,Mumbai,10/1/2024,4.7
269,Rider_269,Bangalore,10/11/2023,3.7
270,Rider_270,Mumbai,7/19/2022,3.2
271,Rider_271,Bangalore,7/12/2023,3.9
272,Rider_272,Hyderabad,7/25/2023,3.4
273,Rider_273,Chennai,5/6/2024,4.4
274,Rider_274,Bangalore,3/6/2023,4.5
275,Rider_275,Chennai,5/27/2022,4.3
276,Rider_276,Hyderabad,4/23/2022,4.4
277,Rider_277,Mumbai,3/2/2022,3.9
278,Rider_278,Hyderabad,8/3/2024,4.5
279,Rider_279,Mumbai,8/19/2022,3.2
280,Rider_280,Bangalore,6/5/2023,4.3
281,Rider_281,Delhi,3/1/2022,3.7
282,Rider_282,Hyderabad,1/21/2024,3.8
283,Rider_283,Bangalore,8/16/2023,3.7
284,Rider_284,Bangalore,12/28/2024,3.7
285,Rider_285,Bangalore,9/25/2024,3.3
286,Rider_286,Delhi,7/14/2024,3.9
287,Rider_287,Hyderabad,4/20/2024,4.7
288,Rider_288,Hyderabad,11/26/2023,4.6
289,Rider_289,Chennai,2/12/2022,3.5
290,Rider_290,Hyderabad,8/5/2024,3.6
291,Rider_291,Hyderabad,12/16/2023,4.9
292,Rider_292,Chennai,4/6/2022,3.8
293,Rider_293,Delhi,9/27/2024,4.8
294,Rider_294,Delhi,4/14/2023,3.3
295,Rider_295,Bangalore,4/27/2023,3.4
296,Rider_296,Bangalore,1/10/2024,4.9
297,Rider_297,Chennai,9/21/2023,3
298,Rider_298,Mumbai,2/13/2024,3.3
299,Rider_299,Mumbai,11/3/2023,4.1
300,Rider_300,Hyderabad,8/25/2024,3.1
301,Rider_301,Mumbai,5/13/2024,4.5
302,Rider_302,Chennai,3/28/2022,3.2
303,Rider_303,Bangalore,2/16/2024,3.6
304,Rider_304,Hyderabad,11/23/2022,4.4
305,Rider_305,Chennai,12/17/2023,3.2
306,Rider_306,Delhi,4/10/2022,3.8
307,Rider_307,Bangalore,10/26/2022,3.5
308,Rider_308,Bangalore,10/20/2023,3.9
309,Rider_309,Hyderabad,1/23/2023,3.7
310,Rider_310,Bangalore,7/11/2023,3
311,Rider_311,Chennai,8/21/2024,3.8
312,Rider_312,Mumbai,9/1/2022,3.3
313,Rider_313,Delhi,6/23/2024,3.4
314,Rider_314,Chennai,9/23/2024,3
315,Rider_315,Delhi,6/11/2023,4.5
316,Rider_316,Chennai,5/4/2022,3.1
317,Rider_317,Bangalore,4/3/2024,4.4
318,Rider_318,Chennai,8/10/2024,3.5
319,Rider_319,Delhi,7/18/2023,4.3
320,Rider_320,Delhi,12/26/2023,4.5
321,Rider_321,Mumbai,12/2/2023,4.5
322,Rider_322,Chennai,7/15/2022,3.9
323,Rider_323,Chennai,2/11/2022,4.4
324,Rider_324,Chennai,9/22/2024,3.6
325,Rider_325,Hyderabad,12/10/2024,4
326,Rider_326,Mumbai,6/21/2023,3.7
327,Rider_327,Mumbai,2/10/2024,3.8
328,Rider_328,Mumbai,3/2/2024,3.7
329,Rider_329,Hyderabad,10/16/2023,3.3
330,Rider_330,Hyderabad,4/23/2023,4.6
331,Rider_331,Delhi,8/5/2024,3.6
332,Rider_332,Hyderabad,8/15/2024,4.1
333,Rider_333,Mumbai,2/22/2024,3.6
334,Rider_334,Bangalore,4/8/2023,3.5
335,Rider_335,Hyderabad,5/3/2024,4.4
336,Rider_336,Hyderabad,12/24/2022,3.5
337,Rider_337,Mumbai,3/17/2022,4.7
338,Rider_338,Chennai,5/9/2022,4.6
339,Rider_339,Hyderabad,5/3/2022,3
340,Rider_340,Bangalore,10/21/2022,3.7
341,Rider_341,Hyderabad,2/19/2022,4.8
342,Rider_342,Chennai,7/20/2023,4.2
343,Rider_343,Bangalore,8/17/2024,3.5
344,Rider_344,Chennai,7/10/2022,3.9
345,Rider_345,Delhi,9/18/2022,4.6
346,Rider_346,Mumbai,10/11/2023,4.9
347,Rider_347,Bangalore,10/20/2022,4.1
348,Rider_348,Hyderabad,11/26/2023,4.5
349,Rider_349,Hyderabad,3/24/2023,3
350,Rider_350,Bangalore,5/1/2022,4.4
351,Rider_351,Delhi,12/8/2022,4.3
352,Rider_352,Hyderabad,1/27/2024,4.7
353,Rider_353,Delhi,5/1/2023,4.6
354,Rider_354,Chennai,12/22/2022,3.5
355,Rider_355,Bangalore,8/6/2022,4.6
356,Rider_356,Delhi,4/8/2022,4
357,Rider_357,Hyderabad,11/20/2024,3.9
358,Rider_358,Chennai,2/1/2022,4.3
359,Rider_359,Hyderabad,10/20/2022,3.8
360,Rider_360,Hyderabad,5/2/2024,3.9
361,Rider_361,Delhi,12/8/2024,3.1
362,Rider_362,Mumbai,5/8/2023,4
363,Rider_363,Delhi,1/27/2024,3.8
364,Rider_364,Chennai,9/25/2024,4.7
365,Rider_365,Chennai,1/3/2022,4.7
366,Rider_366,Chennai,10/12/2023,4.6
367,Rider_367,Chennai,4/10/2023,4.3
368,Rider_368,Hyderabad,5/18/2024,4.4
369,Rider_369,Hyderabad,7/24/2024,4.9
370,Rider_370,Mumbai,8/18/2022,4.2
371,Rider_371,Bangalore,1/2/2023,4
372,Rider_372,Chennai,4/14/2022,4.8
373,Rider_373,Bangalore,8/4/2024,3.9
374,Rider_374,Chennai,3/7/2024,4.5
375,Rider_375,Delhi,10/22/2024,3.1
376,Rider_376,Hyderabad,1/25/2022,4.9
377,Rider_377,Mumbai,9/14/2024,3.4
378,Rider_378,Hyderabad,6/3/2023,4.4
379,Rider_379,Hyderabad,11/8/2022,3.8
380,Rider_380,Chennai,9/19/2023,4.5
381,Rider_381,Hyderabad,4/24/2023,4.8
382,Rider_382,Mumbai,5/6/2024,4.4
383,Rider_383,Chennai,8/24/2023,3.6
384,Rider_384,Bangalore,3/24/2022,4.4
385,Rider_385,Hyderabad,1/2/2024,3.7
386,Rider_386,Hyderabad,9/2/2022,3.6
387,Rider_387,Bangalore,12/2/2022,4.7
388,Rider_388,Bangalore,7/2/2023,4.2
389,Rider_389,Mumbai,4/1/2023,4.8
390,Rider_390,Mumbai,2/14/2023,3.4
391,Rider_391,Delhi,10/4/2023,4.8
392,Rider_392,Bangalore,3/17/2022,5
393,Rider_393,Bangalore,11/27/2024,4.5
394,Rider_394,Bangalore,1/3/2023,4.7
395,Rider_395,Hyderabad,1/24/2022,3.1
396,Rider_396,Bangalore,8/27/2023,3.3
397,Rider_397,Chennai,3/11/2024,3.5
398,Rider_398,Mumbai,4/13/2023,3.3
399,Rider_399,Hyderabad,7/4/2024,3.5
400,Rider_400,Mumbai,1/7/2023,3.2
401,Rider_401,Delhi,2/24/2022,4.7
402,Rider_402,Mumbai,2/27/2022,4.3
403,Rider_403,Hyderabad,1/19/2024,5
404,Rider_404,Hyderabad,8/25/2024,3.7
405,Rider_405,Delhi,11/17/2024,3.7
406,Rider_406,Chennai,9/6/2023,4.8
407,Rider_407,Hyderabad,4/26/2023,4
408,Rider_408,Bangalore,11/19/2024,4
409,Rider_409,Hyderabad,1/2/2024,3.8
410,Rider_410,Hyderabad,8/17/2024,4.8
411,Rider_411,Delhi,1/10/2023,4.2
412,Rider_412,Mumbai,10/18/2023,3.8
413,Rider_413,Bangalore,11/15/2022,4.1
414,Rider_414,Bangalore,2/16/2023,4.3
415,Rider_415,Chennai,3/25/2024,3.7
416,Rider_416,Chennai,11/10/2022,4.7
417,Rider_417,Chennai,12/1/2024,4.9
418,Rider_418,Chennai,9/28/2022,4.8
419,Rider_419,Chennai,6/20/2023,3.5
420,Rider_420,Delhi,8/21/2022,3.8
421,Rider_421,Delhi,8/26/2024,4.2
422,Rider_422,Mumbai,12/4/2023,4.5
423,Rider_423,Chennai,3/2/2022,4.5
424,Rider_424,Hyderabad,1/3/2023,4.7
425,Rider_425,Delhi,4/19/2023,3.9
426,Rider_426,Bangalore,12/21/2024,4.8
427,Rider_427,Hyderabad,10/16/2023,5
428,Rider_428,Chennai,11/23/2023,3.5
429,Rider_429,Mumbai,8/23/2022,4.1
430,Rider_430,Chennai,2/25/2022,3.5
431,Rider_431,Bangalore,1/11/2024,3.9
432,Rider_432,Delhi,10/21/2023,3.6
433,Rider_433,Chennai,8/19/2022,3.1
434,Rider_434,Delhi,3/8/2024,3.9
435,Rider_435,Chennai,4/28/2023,3.8
436,Rider_436,Delhi,7/17/2022,4.6
437,Rider_437,Delhi,6/19/2023,3.4
438,Rider_438,Hyderabad,8/25/2024,4.6
439,Rider_439,Hyderabad,2/8/2023,4.3
440,Rider_440,Chennai,5/10/2023,4.7
441,Rider_441,Chennai,12/19/2024,3.9
442,Rider_442,Bangalore,11/17/2022,4.2
443,Rider_443,Delhi,2/10/2022,3.9
444,Rider_444,Delhi,3/20/2024,3
445,Rider_445,Chennai,12/10/2022,4
446,Rider_446,Delhi,12/8/2024,3.5
447,Rider_447,Hyderabad,10/26/2024,3.8
448,Rider_448,Bangalore,3/26/2024,3.4
449,Rider_449,Hyderabad,12/26/2024,3.8
450,Rider_450,Delhi,6/11/2024,4
451,Rider_451,Chennai,10/12/2024,4.2
452,Rider_452,Delhi,2/22/2023,5
453,Rider_453,Delhi,8/24/2022,3.5
454,Rider_454,Bangalore,6/21/2023,3.3
455,Rider_455,Chennai,2/4/2022,3.4
456,Rider_456,Mumbai,2/15/2024,3.9
457,Rider_457,Mumbai,10/18/2023,3.1
458,Rider_458,Bangalore,9/11/2024,4.9
459,Rider_459,Hyderabad,11/1/2022,3.4
460,Rider_460,Mumbai,3/15/2024,3.7
461,Rider_461,Mumbai,6/15/2022,4.8
462,Rider_462,Delhi,8/5/2023,4.5
463,Rider_463,Hyderabad,7/28/2023,4.8
464,Rider_464,Bangalore,7/8/2022,3.9
465,Rider_465,Bangalore,5/1/2023,3.5
466,Rider_466,Delhi,7/5/2023,4.9
467,Rider_467,Delhi,11/3/2024,4.5
468,Rider_468,Delhi,9/24/2022,3.6
469,Rider_469,Chennai,4/19/2023,5
470,Rider_470,Bangalore,7/16/2023,4.8
471,Rider_471,Delhi,11/20/2024,4.1
472,Rider_472,Chennai,10/15/2022,3.5
473,Rider_473,Hyderabad,7/6/2024,3.4
474,Rider_474,Chennai,5/13/2023,3.9
475,Rider_475,Delhi,4/23/2022,3.9
476,Rider_476,Bangalore,3/19/2023,3.6
477,Rider_477,Bangalore,3/14/2024,3.4
478,Rider_478,Hyderabad,5/16/2022,3.7
479,Rider_479,Mumbai,3/15/2024,3.5
480,Rider_480,Mumbai,6/21/2024,3.3
481,Rider_481,Delhi,2/1/2024,4.9
482,Rider_482,Hyderabad,6/5/2022,3
483,Rider_483,Mumbai,8/3/2022,4.6
484,Rider_484,Chennai,12/9/2023,3.5
485,Rider_485,Mumbai,2/2/2023,3.7
486,Rider_486,Bangalore,12/5/2023,4.2
487,Rider_487,Mumbai,8/1/2022,4
488,Rider_488,Hyderabad,9/22/2022,4.7
489,Rider_489,Delhi,5/11/2023,4.3
490,Rider_490,Hyderabad,2/8/2024,4
491,Rider_491,Hyderabad,1/9/2024,4.9
492,Rider_492,Hyderabad,10/17/2022,4.9
493,Rider_493,Mumbai,9/7/2022,3.8
494,Rider_494,Chennai,10/18/2022,3.8
495,Rider_495,Delhi,8/1/2022,3.4
496,Rider_496,Delhi,3/24/2022,4.9
497,Rider_497,Bangalore,5/13/2023,3.6
498,Rider_498,Chennai,2/18/2022,4.1
499,Rider_499,Chennai,7/8/2024,3.5
500,Rider_500,Mumbai,2/3/2024,3.8
501,Rider_501,Chennai,5/17/2023,4.5
502,Rider_502,Delhi,7/7/2022,4.8
503,Rider_503,Bangalore,10/26/2023,3
504,Rider_504,Bangalore,1/13/2024,4
505,Rider_505,Hyderabad,1/19/2023,4.6
506,Rider_506,Bangalore,10/26/2024,4.1
507,Rider_507,Hyderabad,4/23/2022,4.8
508,Rider_508,Hyderabad,8/25/2022,4.5
509,Rider_509,Delhi,11/19/2023,3.2
510,Rider_510,Bangalore,12/26/2023,3.6
511,Rider_511,Mumbai,10/16/2022,4.9
512,Rider_512,Delhi,2/25/2022,3.6
513,Rider_513,Mumbai,12/3/2022,4.2
514,Rider_514,Bangalore,2/24/2023,3.8
515,Rider_515,Mumbai,5/14/2024,4.5
516,Rider_516,Bangalore,2/27/2022,3.5
517,Rider_517,Mumbai,5/6/2023,4.2
518,Rider_518,Bangalore,8/24/2024,4.1
519,Rider_519,Mumbai,1/1/2023,5
520,Rider_520,Chennai,2/19/2023,4.6
521,Rider_521,Bangalore,3/5/2023,4.3
522,Rider_522,Hyderabad,4/21/2024,4.2
523,Rider_523,Bangalore,3/4/2022,4.8
524,Rider_524,Hyderabad,12/12/2022,3.2
525,Rider_525,Chennai,4/6/2023,3.9
526,Rider_526,Mumbai,1/17/2023,3.1
527,Rider_527,Hyderabad,11/27/2024,3.8
528,Rider_528,Delhi,12/26/2024,4.7
529,Rider_529,Bangalore,10/27/2024,5
530,Rider_530,Delhi,7/17/2024,4.5
531,Rider_531,Delhi,11/9/2024,4
532,Rider_532,Delhi,9/9/2024,4.4
533,Rider_533,Hyderabad,5/27/2024,4.8
534,Rider_534,Chennai,2/1/2022,4.3
535,Rider_535,Bangalore,7/26/2022,4.1
536,Rider_536,Chennai,3/28/2022,3.5
537,Rider_537,Hyderabad,12/14/2023,3.2
538,Rider_538,Chennai,12/23/2023,3.3
539,Rider_539,Chennai,9/3/2023,4.2
540,Rider_540,Delhi,4/17/2023,4
541,Rider_541,Delhi,3/8/2024,5
542,Rider_542,Mumbai,4/3/2022,4.8
543,Rider_543,Bangalore,1/18/2022,4.2
544,Rider_544,Bangalore,5/23/2024,3
545,Rider_545,Bangalore,12/8/2022,4.4
546,Rider_546,Bangalore,4/20/2022,4.8
547,Rider_547,Chennai,2/20/2022,3.5
548,Rider_548,Bangalore,11/9/2022,3.4
549,Rider_549,Chennai,1/21/2022,4.9
550,Rider_550,Hyderabad,8/15/2024,4
551,Rider_551,Chennai,2/14/2024,5
552,Rider_552,Hyderabad,5/25/2023,4.9
553,Rider_553,Mumbai,10/19/2022,4.5
554,Rider_554,Hyderabad,2/3/2022,3.5
555,Rider_555,Delhi,5/11/2023,3.9
556,Rider_556,Chennai,2/8/2022,3.9
557,Rider_557,Chennai,7/14/2022,4.5
558,Rider_558,Bangalore,5/19/2023,4.3
559,Rider_559,Mumbai,4/14/2023,4.4
560,Rider_560,Mumbai,6/26/2022,4.8
561,Rider_561,Bangalore,11/20/2024,4
562,Rider_562,Delhi,12/15/2024,3.2
563,Rider_563,Hyderabad,6/10/2022,3.1
564,Rider_564,Chennai,5/7/2024,4.8
565,Rider_565,Mumbai,5/6/2023,3
566,Rider_566,Hyderabad,7/5/2024,3.5
567,Rider_567,Delhi,5/17/2022,4.3
