ride_id,rider_id,rider_name,rider_city,rider_rating,signup_date,driver_id,driver_name,driver_city,driver_rating,ride_city,ride_status,request_time,start_time,end_time,waiting_time_min,ride_duration_min,distance_km,fare_amount,payment_method,payment_time,is_paid,fare_per_km,ride_date
RID8293,R9287,Rider_9287,Chennai,3.9,2022-05-06,D3705,Driver_3705,Chennai,4.1,Chennai,COMPLETED,2024-09-18 01:11:22,2024-09-18 01:21:11,2024-09-18 01:42:14,9.82,21.05,9.1,172.9,UPI,2024-09-18 01:42:14,True,19.0,2024-09-18
RID30445,R3086,Rider_3086,Delhi,4.1,2025-09-20,D3835,Driver_3835,Chennai,4.5,Chennai,COMPLETED,2023-12-22 08:43:49,2023-12-22 08:54:35,2023-12-22 09:10:02,10.77,15.45,6.74,107.84,CASH,2023-12-22 09:10:01,True,16.0,2023-12-22
RID23524,R6676,Rider_6676,Delhi,4.2,2024-03-03,D3527,Driver_3527,Bangalore,4.4,Bangalore,COMPLETED,2025-11-25 06:48:18,2025-11-25 06:56:27,2025-11-25 07:15:43,8.15,19.27,13.78,275.6,CARD,2025-11-25 07:15:42,True,20.0,2025-11-25
RID31543,R145,Rider_145,Mumbai,4.8,2025-11-10,D1096,Driver_1096,Mumbai,4.4,Mumbai,COMPLETED,2023-03-05 10:48:42,2023-03-05 11:02:25,2023-03-05 11:30:17,13.72,27.87,4.36,65.4,CASH,2023-03-05 11:30:16,True,15.0,2023-03-05
RID25727,R6762,Rider_6762,Bangalore,4.7,2024-12-26,D3883,Driver_3883,Bangalore,4.9,Bangalore,COMPLETED,2023-03-22 17:59:39,2023-03-22 18:08:39,2023-03-22 18:22:09,9.0,13.5,4.09,81.8,CARD,2023-03-22 18:22:09,True,20.0,2023-03-22
RID19600,R6343,Rider_6343,Mumbai,4.3,2024-03-13,D3884,Driver_3884,Chennai,4.9,Chennai,COMPLETED,2023-03-18 02:43:10,2023-03-18 02:52:56,2023-03-18 03:14:07,9.77,21.18,11.4,216.6,CARD,2023-03-18 03:14:07,True,19.0,2023-03-18
RID32736,R871,Rider_871,Delhi,3.9,2023-11-18,D804,Driver_804,Bangalore,4.7,Bangalore,COMPLETED,2025-08-06 17:53:26,2025-08-06 18:00:56,2025-08-06 18:17:16,7.5,16.33,13.08,261.6,UPI,2025-08-06 18:17:15,True,20.0,2025-08-06
RID16521,R1562,Rider_1562,Chennai,3.7,2023-01-30,D2924,Driver_2924,Mumbai,3.8,Mumbai,COMPLETED,2024-12-21 12:25:49,2024-12-21 12:42:20,2024-12-21 13:08:35,16.52,26.25,6.97,83.64,CARD,2024-12-21 13:08:35,True,12.0,2024-12-21
RID21428,R4524,Rider_4524,Bangalore,4.8,2024-03-28,D2533,Driver_2533,Bangalore,4.1,Bangalore,COMPLETED,2024-10-20 14:48:40,2024-10-20 14:59:41,2024-10-20 15:25:53,11.02,26.2,11.66,198.22,CARD,2024-10-20 15:25:52,True,17.0,2024-10-20
RID20412,R3762,Rider_3762,Chennai,4.5,2024-02-23,D2208,Driver_2208,Delhi,3.3,Delhi,COMPLETED,2023-01-11 19:59:34,2023-01-11 20:22:18,2023-01-11 20:38:17,22.73,15.98,11.12,111.2,UPI,2023-01-11 20:38:17,True,10.0,2023-01-11
RID17156,R3012,Rider_3012,Bangalore,4.5,2024-10-28,D3187,Driver_3187,Hyderabad,3.9,Hyderabad,COMPLETED,2025-09-15 05:09:10,2025-09-15 05:23:35,2025-09-15 05:45:47,14.42,22.2,8.46,97.29,CARD,2025-09-15 05:45:46,True,11.5,2025-09-15
RID14686,R770,Rider_770,Chennai,4.2,2024-10-27,D3096,Driver_3096,Bangalore,4.6,Bangalore,COMPLETED,2023-05-06 04:47:59,2023-05-06 04:55:38,2023-05-06 05:07:49,7.65,12.18,11.67,233.4,UPI,2023-05-06 05:07:49,True,20.0,2023-05-06
RID13431,R4020,Rider_4020,Mumbai,3.7,2025-07-31,D4328,Driver_4328,Chennai,4.1,Chennai,COMPLETED,2023-09-14 13:56:50,2023-09-14 14:08:07,2023-09-14 14:24:16,11.28,16.15,13.98,223.68,CASH,2023-09-14 14:24:16,True,16.0,2023-09-14
RID6145,R7675,Rider_7675,Delhi,3.9,2025-11-05,D1668,Driver_1668,Bangalore,4.2,Bangalore,COMPLETED,2023-09-25 06:21:43,2023-09-25 06:31:27,2023-09-25 06:43:14,9.73,11.78,5.26,105.2,UPI,2023-09-25 06:43:13,True,20.0,2023-09-25
RID991,R2132,Rider_2132,Bangalore,4.5,2023-04-29,D2243,Driver_2243,Delhi,3.6,Delhi,COMPLETED,2023-09-06 00:14:46,2023-09-06 00:35:43,2023-09-06 01:01:10,20.95,25.45,13.15,131.5,UPI,2023-09-06 01:01:09,True,10.0,2023-09-06
RID28543,R2441,Rider_2441,Mumbai,3.8,2025-08-05,D3012,Driver_3012,Bangalore,4.9,Bangalore,COMPLETED,2024-10-21 23:51:28,2024-10-21 23:59:09,2024-10-22 00:17:53,7.68,18.73,7.64,152.8,UPI,2024-10-22 00:17:52,True,20.0,2024-10-21
RID19611,R9367,Rider_9367,Hyderabad,3.6,2023-10-22,D1119,Driver_1119,Bangalore,4.0,Bangalore,COMPLETED,2025-08-18 05:20:56,2025-08-18 05:31:22,2025-08-18 05:54:14,10.43,22.87,10.1,141.4,UPI,2025-08-18 05:54:14,True,14.0,2025-08-18
RID25069,R9952,Rider_9952,Mumbai,4.0,2024-12-17,D4344,Driver_4344,Bangalore,5.0,Bangalore,COMPLETED,2023-07-23 16:55:44,2023-07-23 17:02:48,2023-07-23 17:32:36,7.07,29.8,4.77,95.4,CARD,2023-07-23 17:32:35,True,20.0,2023-07-23
RID33068,R324,Rider_324,Delhi,4.2,2023-12-06,D1021,Driver_1021,Hyderabad,3.6,Hyderabad,COMPLETED,2025-05-15 19:58:42,2025-05-15 20:15:08,2025-05-15 20:27:41,16.43,12.55,2.98,34.27,UPI,2025-05-15 20:27:41,True,11.5,2025-05-15
RID25207,R1485,Rider_1485,Hyderabad,4.5,2023-08-11,D503,Driver_503,Bangalore,4.6,Bangalore,COMPLETED,2023-12-20 07:11:57,2023-12-20 07:22:35,2023-12-20 07:35:44,10.63,13.15,13.64,231.88,CARD,2023-12-20 07:35:44,True,17.0,2023-12-20
RID9219,R8979,Rider_8979,Mumbai,4.0,2023-08-02,D4479,Driver_4479,Hyderabad,4.1,Hyderabad,COMPLETED,2023-09-22 05:57:00,2023-09-22 06:12:24,2023-09-22 06:23:40,15.4,11.27,12.84,186.18,UPI,2023-09-22 06:23:40,True,14.5,2023-09-22
RID20917,R2528,Rider_2528,Delhi,4.7,2025-06-09,D4960,Driver_4960,Mumbai,4.0,Mumbai,COMPLETED,2024-08-23 01:45:40,2024-08-23 02:01:41,2024-08-23 02:25:50,16.02,24.15,7.21,86.52,UPI,2024-08-23 02:25:50,True,12.0,2024-08-23
RID5968,R6789,Rider_6789,Mumbai,3.9,2022-07-14,D3053,Driver_3053,Mumbai,4.1,Mumbai,COMPLETED,2023-07-16 09:10:22,2023-07-16 09:25:38,2023-07-16 09:50:31,15.27,24.88,8.42,126.3,CARD,2023-07-16 09:50:30,True,15.0,2023-07-16
RID670,R7193,Rider_7193,Delhi,4.1,2023-09-25,D1299,Driver_1299,Chennai,4.6,Chennai,COMPLETED,2025-05-26 02:00:27,2025-05-26 02:11:05,2025-05-26 02:28:20,10.63,17.25,5.77,92.32,CARD,2025-05-26 02:28:20,True,16.0,2025-05-26
RID11523,R9663,Rider_9663,Mumbai,3.8,2023-01-03,D348,Driver_348,Chennai,4.9,Chennai,COMPLETED,2023-03-16 17:12:37,2023-03-16 17:21:40,2023-03-16 17:47:13,9.05,25.55,13.92,264.48,CARD,2023-03-16 17:47:12,True,19.0,2023-03-16
RID1465,R7148,Rider_7148,Delhi,4.3,2023-03-07,D961,Driver_961,Bangalore,4.7,Bangalore,COMPLETED,2024-01-12 01:54:41,2024-01-12 02:02:38,2024-01-12 02:18:29,7.95,15.85,9.37,187.4,CARD,2024-01-12 02:18:29,True,20.0,2024-01-12
RID4330,R4876,Rider_4876,Hyderabad,3.8,2023-09-05,D3785,Driver_3785,Chennai,4.3,Chennai,COMPLETED,2023-10-24 15:14:02,2023-10-24 15:26:14,2023-10-24 15:44:26,12.2,18.2,5.21,83.36,CARD,2023-10-24 15:44:25,True,16.0,2023-10-24
RID25523,R2176,Rider_2176,Bangalore,3.9,2022-03-27,D4223,Driver_4223,Bangalore,4.3,Bangalore,COMPLETED,2025-04-04 05:19:22,2025-04-04 05:27:49,2025-04-04 05:50:06,8.45,22.28,9.98,199.6,UPI,2025-04-04 05:50:05,True,20.0,2025-04-04
RID26977,R3444,Rider_3444,Hyderabad,4.5,2025-03-14,D3889,Driver_3889,Delhi,3.9,Delhi,COMPLETED,2023-02-06 23:39:48,2023-02-06 23:59:42,2023-02-07 00:10:13,19.9,10.52,11.38,113.8,UPI,2023-02-07 00:10:13,True,10.0,2023-02-06
RID15882,R157,Rider_157,Bangalore,4.3,2023-05-04,D1040,Driver_1040,Hyderabad,3.6,Hyderabad,COMPLETED,2023-08-16 15:36:48,2023-08-16 15:53:44,2023-08-16 16:03:57,16.93,10.22,11.99,137.88,CARD,2023-08-16 16:03:57,True,11.5,2023-08-16
RID29430,R8391,Rider_8391,Bangalore,3.8,2022-01-07,D4617,Driver_4617,Bangalore,4.2,Bangalore,COMPLETED,2025-05-13 17:05:41,2025-05-13 17:16:18,2025-05-13 17:32:39,10.62,16.35,3.34,56.78,CASH,2025-05-13 17:32:38,True,17.0,2025-05-13
RID5940,R7462,Rider_7462,Hyderabad,4.6,2023-09-03,D2710,Driver_2710,Bangalore,4.1,Bangalore,COMPLETED,2024-09-17 12:09:09,2024-09-17 12:21:40,2024-09-17 12:36:04,12.52,14.4,7.47,126.99,CASH,2024-09-17 12:36:04,True,17.0,2024-09-17
RID18679,R8864,Rider_8864,Mumbai,4.2,2023-09-17,D1785,Driver_1785,Chennai,3.9,Chennai,COMPLETED,2024-08-17 03:54:39,2024-08-17 04:05:02,2024-08-17 04:21:26,10.38,16.4,3.62,47.06,UPI,2024-08-17 04:21:26,True,13.0,2024-08-17
RID12639,R2501,Rider_2501,Delhi,4.2,2023-10-27,D4689,Driver_4689,Delhi,3.5,Delhi,COMPLETED,2024-10-25 03:05:59,2024-10-25 03:27:49,2024-10-25 03:48:42,21.83,20.88,6.44,64.4,CASH,2024-10-25 03:48:41,True,10.0,2024-10-25
RID6053,R970,Rider_970,Mumbai,4.0,2025-02-23,D1562,Driver_1562,Hyderabad,4.4,Hyderabad,COMPLETED,2025-05-29 05:56:03,2025-05-29 06:09:28,2025-05-29 06:28:48,13.42,19.33,2.71,39.3,CARD,2025-05-29 06:28:47,True,14.5,2025-05-29
RID5139,R5371,Rider_5371,Delhi,4.7,2024-09-03,D166,Driver_166,Hyderabad,4.3,Hyderabad,COMPLETED,2025-12-13 16:22:45,2025-12-13 16:34:02,2025-12-13 16:51:34,11.28,17.53,5.69,82.51,UPI,2025-12-13 16:51:34,True,14.5,2025-12-13
RID23366,R4474,Rider_4474,Hyderabad,3.7,2023-05-11,D1503,Driver_1503,Mumbai,3.9,Mumbai,COMPLETED,2025-04-08 15:03:44,2025-04-08 15:19:02,2025-04-08 15:33:53,15.3,14.85,11.46,137.52,UPI,2025-04-08 15:33:52,True,12.0,2025-04-08
RID17291,R3038,Rider_3038,Mumbai,4.2,2025-08-15,D2111,Driver_2111,Mumbai,4.5,Mumbai,COMPLETED,2023-10-08 18:09:36,2023-10-08 18:23:16,2023-10-08 18:38:33,13.67,15.28,5.72,85.8,CASH,2023-10-08 18:38:33,True,15.0,2023-10-08
RID30819,R9882,Rider_9882,Bangalore,3.8,2023-10-15,D2117,Driver_2117,Hyderabad,3.8,Hyderabad,COMPLETED,2024-04-07 01:31:42,2024-04-07 01:45:22,2024-04-07 02:09:18,13.67,23.93,8.28,95.22,UPI,2024-04-07 02:09:18,True,11.5,2024-04-07
RID18494,R9647,Rider_9647,Chennai,4.1,2024-12-14,D1369,Driver_1369,Mumbai,3.6,Mumbai,COMPLETED,2025-02-04 05:31:22,2025-02-04 05:48:55,2025-02-04 06:16:49,17.55,27.9,6.34,76.08,UPI,2025-02-04 06:16:49,True,12.0,2025-02-04
RID16787,R5999,Rider_5999,Delhi,3.9,2025-09-06,D3248,Driver_3248,Chennai,4.2,Chennai,COMPLETED,2023-08-09 16:43:20,2023-08-09 16:55:13,2023-08-09 17:10:29,11.88,15.27,4.27,68.32,UPI,2023-08-09 17:10:28,True,16.0,2023-08-09
RID2947,R8098,Rider_8098,Mumbai,4.4,2025-08-26,D3797,Driver_3797,Mumbai,4.0,Mumbai,COMPLETED,2023-08-02 03:32:27,2023-08-02 03:46:31,2023-08-02 04:01:45,14.07,15.23,5.54,66.48,CARD,2023-08-02 04:01:45,True,12.0,2023-08-02
RID28933,R4686,Rider_4686,Chennai,3.6,2024-08-28,D4577,Driver_4577,Mumbai,4.4,Mumbai,COMPLETED,2023-01-15 04:08:19,2023-01-15 04:22:38,2023-01-15 04:46:25,14.32,23.78,9.15,137.25,CASH,2023-01-15 04:46:25,True,15.0,2023-01-15
RID3175,R3193,Rider_3193,Hyderabad,3.9,2022-03-29,D4192,Driver_4192,Mumbai,4.1,Mumbai,COMPLETED,2024-06-14 20:31:58,2024-06-14 20:47:30,2024-06-14 21:08:02,15.53,20.53,10.87,163.05,CASH,2024-06-14 21:08:01,True,15.0,2024-06-14
RID21840,R8077,Rider_8077,Chennai,3.8,2022-11-03,D1730,Driver_1730,Hyderabad,4.1,Hyderabad,COMPLETED,2024-01-01 21:18:38,2024-01-01 21:32:26,2024-01-01 21:53:29,13.8,21.05,9.93,143.98,UPI,2024-01-01 21:53:29,True,14.5,2024-01-01
RID7307,R9191,Rider_9191,Hyderabad,4.5,2022-11-10,D3469,Driver_3469,Chennai,4.6,Chennai,COMPLETED,2026-01-16 08:03:36,2026-01-16 08:14:55,2026-01-16 08:43:47,11.32,28.87,12.94,207.04,CASH,2026-01-16 08:43:47,True,16.0,2026-01-16
RID28793,R9842,Rider_9842,Delhi,3.8,2024-08-16,D1203,Driver_1203,Mumbai,3.8,Mumbai,COMPLETED,2023-09-28 11:18:21,2023-09-28 11:35:08,2023-09-28 11:47:04,16.78,11.93,3.56,42.72,UPI,2023-09-28 11:47:03,True,12.0,2023-09-28
RID17728,R6321,Rider_6321,Hyderabad,4.2,2023-12-17,D4493,Driver_4493,Bangalore,4.9,Bangalore,COMPLETED,2023-03-09 14:11:43,2023-03-09 14:20:00,2023-03-09 14:40:40,8.28,20.67,13.8,276.0,UPI,2023-03-09 14:40:40,True,20.0,2023-03-09
RID16083,R6234,Rider_6234,Delhi,4.6,2025-05-19,D2833,Driver_2833,Chennai,4.2,Chennai,COMPLETED,2023-02-15 14:08:45,2023-02-15 14:19:14,2023-02-15 14:48:51,10.48,29.62,6.53,104.48,CASH,2023-02-15 14:48:51,True,16.0,2023-02-15
RID1577,R1309,Rider_1309,Hyderabad,3.9,2023-06-24,D1923,Driver_1923,Bangalore,4.5,Bangalore,COMPLETED,2025-12-25 19:16:25,2025-12-25 19:27:49,2025-12-25 19:50:54,11.4,23.08,10.02,170.34,UPI,2025-12-25 19:50:54,True,17.0,2025-12-25
RID29648,R5071,Rider_5071,Hyderabad,4.5,2023-07-21,D1081,Driver_1081,Chennai,4.1,Chennai,COMPLETED,2025-06-08 18:02:30,2025-06-08 18:14:23,2025-06-08 18:29:43,11.88,15.33,12.6,201.6,UPI,2025-06-08 18:29:43,True,16.0,2025-06-08
RID211,R4241,Rider_4241,Bangalore,4.3,2022-08-10,D3765,Driver_3765,Hyderabad,4.3,Hyderabad,COMPLETED,2024-06-05 06:04:12,2024-06-05 06:18:03,2024-06-05 06:29:01,13.85,10.97,6.04,87.58,CARD,2024-06-05 06:29:01,True,14.5,2024-06-05
RID25959,R2018,Rider_2018,Bangalore,4.3,2022-09-16,D4300,Driver_4300,Chennai,4.7,Chennai,COMPLETED,2025-11-13 16:22:13,2025-11-13 16:31:40,2025-11-13 16:48:51,9.45,17.18,3.85,73.15,UPI,2025-11-13 16:48:51,True,19.0,2025-11-13
RID6461,R91,Rider_91,Mumbai,4.7,2023-01-07,D3252,Driver_3252,Hyderabad,4.1,Hyderabad,COMPLETED,2025-12-22 03:13:57,2025-12-22 03:25:56,2025-12-22 03:47:09,11.98,21.22,10.71,155.3,CASH,2025-12-22 03:47:08,True,14.5,2025-12-22
RID23197,R982,Rider_982,Chennai,4.5,2023-07-26,D2360,Driver_2360,Mumbai,4.3,Mumbai,COMPLETED,2023-07-07 05:22:59,2023-07-07 05:38:58,2023-07-07 05:57:22,15.98,18.4,13.06,195.9,CASH,2023-07-07 05:57:21,True,15.0,2023-07-07
RID6410,R8329,Rider_8329,Mumbai,4.4,2025-06-25,D1673,Driver_1673,Mumbai,3.8,Mumbai,COMPLETED,2025-07-13 13:38:36,2025-07-13 13:54:54,2025-07-13 14:21:03,16.3,26.15,11.84,142.08,UPI,2025-07-13 14:21:02,True,12.0,2025-07-13
RID4393,R5168,Rider_5168,Bangalore,4.2,2023-03-26,D4386,Driver_4386,Hyderabad,3.9,Hyderabad,COMPLETED,2024-04-28 02:48:23,2024-04-28 03:01:45,2024-04-28 03:13:54,13.37,12.15,13.68,157.32,UPI,2024-04-28 03:13:53,True,11.5,2024-04-28
RID22841,R3363,Rider_3363,Delhi,4.6,2023-07-03,D3102,Driver_3102,Bangalore,4.8,Bangalore,COMPLETED,2025-09-12 23:53:01,2025-09-13 00:00:06,2025-09-13 00:24:27,7.08,24.35,7.48,149.6,CASH,2025-09-13 00:24:27,True,20.0,2025-09-12
RID29243,R4978,Rider_4978,Delhi,3.7,2025-06-28,D4163,Driver_4163,Chennai,4.4,Chennai,COMPLETED,2025-05-27 17:11:02,2025-05-27 17:20:06,2025-05-27 17:44:15,9.07,24.15,5.34,101.46,UPI,2025-05-27 17:44:15,True,19.0,2025-05-27
RID18903,R9090,Rider_9090,Chennai,4.4,2022-06-17,D594,Driver_594,Hyderabad,3.6,Hyderabad,COMPLETED,2025-04-26 03:48:48,2025-04-26 04:03:05,2025-04-26 04:26:39,14.28,23.57,9.51,109.36,CASH,2025-04-26 04:26:38,True,11.5,2025-04-26
RID1124,R632,Rider_632,Mumbai,3.8,2023-04-30,D937,Driver_937,Delhi,3.6,Delhi,COMPLETED,2023-08-22 14:16:30,2023-08-22 14:36:32,2023-08-22 15:02:55,20.03,26.38,9.56,95.6,CASH,2023-08-22 15:02:55,True,10.0,2023-08-22
RID3899,R9206,Rider_9206,Hyderabad,4.6,2022-01-30,D3190,Driver_3190,Mumbai,3.9,Mumbai,COMPLETED,2024-11-02 23:48:10,2024-11-03 00:03:29,2024-11-03 00:27:46,15.32,24.28,2.39,28.68,CARD,2024-11-03 00:27:46,True,12.0,2024-11-02
RID9075,R3712,Rider_3712,Mumbai,4.2,2023-08-31,D2876,Driver_2876,Delhi,3.6,Delhi,COMPLETED,2023-12-19 14:14:05,2023-12-19 14:33:47,2023-12-19 14:51:01,19.7,17.23,13.06,130.6,CASH,2023-12-19 14:51:00,True,10.0,2023-12-19
RID23644,R4717,Rider_4717,Mumbai,3.8,2022-01-17,D3172,Driver_3172,Hyderabad,4.3,Hyderabad,COMPLETED,2025-12-16 10:38:17,2025-12-16 10:49:42,2025-12-16 11:03:19,11.42,13.62,10.52,152.54,UPI,2025-12-16 11:03:19,True,14.5,2025-12-16
RID5607,R9564,Rider_9564,Delhi,4.5,2025-06-18,D424,Driver_424,Delhi,3.8,Delhi,COMPLETED,2023-10-19 13:22:41,2023-10-19 13:42:19,2023-10-19 14:01:18,19.63,18.98,9.37,93.7,CASH,2023-10-19 14:01:17,True,10.0,2023-10-19
RID24255,R1113,Rider_1113,Hyderabad,3.7,2025-01-25,D305,Driver_305,Chennai,4.6,Chennai,COMPLETED,2024-02-23 08:59:36,2024-02-23 09:08:07,2024-02-23 09:27:34,8.52,19.45,6.84,129.96,CARD,2024-02-23 09:27:34,True,19.0,2024-02-23
RID15984,R9710,Rider_9710,Mumbai,4.6,2024-11-07,D4576,Driver_4576,Hyderabad,4.4,Hyderabad,COMPLETED,2024-03-18 13:33:53,2024-03-18 13:46:29,2024-03-18 14:07:09,12.6,20.67,13.0,188.5,CARD,2024-03-18 14:07:08,True,14.5,2024-03-18
RID3107,R252,Rider_252,Mumbai,4.2,2022-11-06,D2443,Driver_2443,Hyderabad,4.3,Hyderabad,COMPLETED,2025-02-25 05:15:33,2025-02-25 05:29:56,2025-02-25 05:42:40,14.38,12.73,4.98,72.21,UPI,2025-02-25 05:42:40,True,14.5,2025-02-25
RID1183,R6041,Rider_6041,Chennai,4.4,2024-12-01,D1283,Driver_1283,Delhi,3.2,Delhi,COMPLETED,2024-06-04 20:38:45,2024-06-04 21:01:11,2024-06-04 21:30:50,22.43,29.65,5.29,52.9,CASH,2024-06-04 21:30:49,True,10.0,2024-06-04
RID23530,R3248,Rider_3248,Chennai,3.7,2024-01-06,D1810,Driver_1810,Mumbai,4.3,Mumbai,COMPLETED,2023-12-24 09:25:06,2023-12-24 09:38:58,2023-12-24 10:00:12,13.87,21.23,11.08,166.2,CARD,2023-12-24 10:00:12,True,15.0,2023-12-24
RID5587,R5236,Rider_5236,Delhi,4.2,2025-05-27,D1856,Driver_1856,Hyderabad,4.3,Hyderabad,COMPLETED,2025-06-10 08:22:55,2025-06-10 08:35:19,2025-06-10 08:46:41,12.4,11.37,5.49,79.61,CARD,2025-06-10 08:46:40,True,14.5,2025-06-10
RID105,R1437,Rider_1437,Mumbai,4.6,2024-05-22,D4867,Driver_4867,Mumbai,4.5,Mumbai,COMPLETED,2025-12-25 04:51:08,2025-12-25 05:03:21,2025-12-25 05:28:39,12.22,25.3,7.57,113.55,CASH,2025-12-25 05:28:38,True,15.0,2025-12-25
RID26845,R5315,Rider_5315,Mumbai,3.7,2023-01-13,D2202,Driver_2202,Hyderabad,4.0,Hyderabad,COMPLETED,2023-01-02 01:31:18,2023-01-02 01:46:04,2023-01-02 02:01:40,14.77,15.6,7.26,83.49,CASH,2023-01-02 02:01:39,True,11.5,2023-01-02
RID14515,R8535,Rider_8535,Bangalore,4.5,2022-03-27,D3602,Driver_3602,Mumbai,4.4,Mumbai,COMPLETED,2023-03-19 19:45:34,2023-03-19 20:00:32,2023-03-19 20:24:41,14.97,24.15,13.72,205.8,UPI,2023-03-19 20:24:41,True,15.0,2023-03-19
RID18984,R7525,Rider_7525,Chennai,3.7,2023-03-28,D1094,Driver_1094,Mumbai,4.0,Mumbai,COMPLETED,2024-09-08 07:24:53,2024-09-08 07:38:47,2024-09-08 08:03:55,13.9,25.13,4.58,54.96,UPI,2024-09-08 08:03:54,True,12.0,2024-09-08
